psu,state,locality,latitude,longitude,pop
12186,11,88,13.7277892402187,30.58137131525,900
10945,11,92,13.8865059418182,28.7402324698788,900
11002,11,92,14.0989035079429,28.4932496422571,900
11000,11,92,14.1175464410938,28.1718166630938,900
10999,11,93,14.345631329,27.9365423854688,900
11902,11,89,12.6760235445938,30.6254418728438,5864
11364,11,87,13.5139227717059,31.5662697964412,1450
11171,11,90,13.568244246625,30.306974825,840
5107109,11,86,13.1961954783226,30.2050588836129,830
11925,11,89,12.8650257186154,30.5366902473462,800
10948,11,92,14.1779715987188,29.3075185610625,800
12100,11,86,12.5803889532121,30.0944547570606,780
11785,11,88,14.0309455159063,30.75076888625,780
11115,11,91,14.0839157075,29.7098897183667,775
11352,11,87,13.246786876,31.8121804047407,760
11539,11,87,12.7391397059412,31.1379872843235,1756
12214,11,86,12.7703769981212,30.3967900610303,1100
11023,11,90,14.0581293329394,31.3398899932424,1350
5107107,11,86,13.1724485503939,30.2169001582727,750
5107114,11,86,13.2180767620606,30.2403739696364,750
11809,11,88,13.5815193369355,30.6330224186774,720
11089,11,90,14.4212576556875,30.5850602990938,720
11624,11,87,13.0540526261563,31.3393244169375,700
5107108,11,86,13.1739340171724,30.2456652907931,700
5107115,11,86,13.1752372764333,30.1731352396667,675
11494,11,86,12.9137957321111,29.9064502121111,660
11235,11,91,13.694686601,29.4404053958438,650
11088,11,90,14.309841229,30.8680038506176,630
11135,11,91,14.3186143924062,30.1798885880937,930
5107104,11,86,13.1523920683462,30.2196862937692,630
12083,11,86,12.7758337367188,30.1671899629062,600
11889,11,89,12.41992951,31.0088692155667,600
11837,11,88,13.564627879303,30.7836927394848,1020
11254,11,91,13.739842373125,29.8056830962188,820
11041,11,90,14.1817034582059,31.4566834024118,720
11092,11,90,14.2547779390312,30.6936690214063,600
10860,11,93,16.1793156299,31.4991840605,600
12400,11,93,14.554747220875,30.8654405326875,1092
12128,11,89,12.958882308625,30.5255407056875,2762
5107111,11,86,13.1954017912333,30.2585138907667,560
11740,11,88,13.7232198951471,30.9492502956176,1440
11909,11,89,12.722687733375,30.8016680829375,4274
11052,11,90,13.9352885988387,31.5401742368387,510
11317,11,87,13.0736548601613,31.7037964420323,500
11139,11,91,14.2605084665625,29.9321121981563,500
10913,11,93,15.0128647286923,31.9226793950385,500
5107110,11,86,13.1970351463438,30.2302209989688,500
10853,11,93,15.7555847235,29.7926252685714,500
13783,11,87,12.8945617279032,31.0924818647097,498
11898,11,89,12.5132153755455,30.5597334945152,1680
11897,11,89,12.56135309025,30.690910399875,480
12208,11,89,13.2544646497812,30.64670777025,480
11861,11,88,13.6903380754118,31.0510754182647,1350
11804,11,88,13.5634209815588,30.8822396281765,1078
11969,11,86,13.1713328319714,30.4775312705714,1018
11952,11,86,13.4367884882424,29.992581530303,828
10932,11,93,14.8595179989714,30.7550793849714,420
11040,11,90,14.0253494641515,31.1545860751212,720
11412,11,87,12.750119071871,31.5375344248065,420
10896,11,93,14.310275028,31.369124256125,1092
11152,11,91,14.0554337456522,30.1565762948261,640
11283,11,91,13.9471122043636,29.1511776534545,420
10993,11,92,14.8271923983333,28.6100314795185,480
11403,11,87,12.9149104968125,31.6457410865312,408
12096,11,86,12.5768110246053,30.2808052522368,1380
12207,11,90,13.1193299535625,30.5688862218438,920
11394,11,87,13.0995615617879,31.5373646868182,400
12257,11,91,13.3676445923947,29.5972951903684,2700
10938,11,93,15.3837345151667,32.0181243334167,400
11981,11,88,13.4134415616562,30.41036591125,360
10917,11,93,16.0508606048333,31.7349028545,360
11236,11,91,13.574537867,29.5519537217097,360
12398,11,93,15.2030194412121,29.6126568530303,900
10854,11,93,15.1254939939375,30.1794813205,360
11003,11,92,14.1465699756071,27.4033301823929,660
11994,11,86,13.0707959752188,30.4032514809687,492
12070,11,86,13.0690277713437,30.1339693268125,1050
11891,11,89,12.4435181922667,30.6084035977,350
11899,11,89,12.564803706,30.7788313589062,498
11942,11,89,12.4308690841143,30.7548515578857,880
10846,11,93,15.2414063258485,30.6180356070303,633
10983,11,92,15.0427936690938,27.75321011675,330
12434,11,87,12.7475923287742,31.3277708229355,600
12284,11,91,13.7505610938333,29.6375876722,550
12073,11,86,12.9113864132,30.1006366064571,570
11929,11,89,12.9360488071563,30.7090376031875,680
12310,11,92,14.6100405276061,28.2967872703333,250
11992,11,86,13.1959373096129,30.0923185843226,570
11945,11,89,12.7458537121875,30.5798535813125,840
11906,11,86,12.7520538453438,30.6904156480312,1290
12445,11,87,13.2225282094667,31.2366888561667,590
12409,11,90,14.0168618927576,30.9946248357273,4840
10863,11,93,15.883629422,30.42040232,240
12289,11,91,13.5571652375455,29.7265355879545,810
10957,11,92,14.8180292777188,29.2035618459063,3240
11287,11,91,13.7520160025312,29.16848270925,420
12391,11,87,13.503646906,31.1857375586,210
10935,11,93,15.6303098485,31.122357866,200
11996,11,86,12.9460990540303,30.3403669102727,660
10966,11,92,15.5201431547692,27.2155814267692,180
11347,11,87,13.3913431329394,31.9316816211212,3200
12305,11,92,14.4165479637188,29.117643148125,650
10991,11,92,15.1589890487059,28.8786307424706,230
11134,11,91,14.4855951848824,29.9230572292353,1470
12379,11,86,13.3375648633846,30.19779708,463
10892,11,93,14.217463372,31.607985868,30
10711,12,95,11.3270819125882,29.6762207965294,15619
9858,12,96,12.2559416400571,29.6543246120857,289
5311110,12,94,11.0152706884815,29.692069675963,4996
10034,12,98,11.7905025906571,30.0438586141143,1933
10246,12,102,11.9025031792424,31.5985609855758,2204
10069,12,101,10.8291984923611,31.7260050863056,2843
10368,12,102,12.2479736712647,31.7121388296471,7922
10715,12,95,11.3729333181944,29.7530704439444,10000
10817,12,98,11.6861147356471,29.7672928117941,10000
9711,12,105,10.2642776233529,30.8431923511471,10000
9855,12,96,12.2082330208529,29.7739124555,9400
5311117,12,94,11.0262940098947,29.7442816547895,9000
9868,12,96,12.0324694543824,29.6504467864412,9000
9835,12,106,12.1018152228235,30.9407734430882,9000
10089,12,101,11.17606628125,31.3311212054444,9192
9571,12,99,12.1035189197941,31.4024537855,8904
10698,12,94,11.201174081,29.6401327943714,8000
10003,12,97,12.4370442712059,30.2642083871176,7512
5311114,12,94,11.0236831957143,29.7329451515476,7400
5311116,12,94,11.0195769286889,29.7342160101556,6906
5311111,12,94,11.0114073057714,29.6992116308286,6817
9867,12,96,12.056219301,29.6742966415,6000
9876,12,96,12.0558741448387,29.6715146632903,6000
10044,12,98,12.0428298983529,30.1333811897353,6000
10052,12,98,11.5805847979412,29.8603446582647,6000
9802,12,100,11.6268404234359,31.2029442938205,6000
9610,12,104,10.5357604929429,31.0954628071714,6000
5311105,12,94,11.008809143,29.693927609561,5160
9721,12,105,10.3464881418529,30.7988454227059,5000
9710,12,105,10.2662137161111,30.7510611791389,5000
9849,12,96,12.1595546934737,29.7493410321316,4834
9894,12,96,12.172741171,29.756557647,4600
